39.8705944983% 3D points (5cm density point cloud) are not evaluated due to occlusion
24072021 pixels processed
Total accuracy : 59.1393593417%
Kappa: 0.39512152617570867

                    precision    recall  f1-score   support
         PowerLine       0.00      0.00      0.00       571
    Low Vegetation       0.72      0.91      0.81  11183823
Impervious Surface       0.77      0.24      0.37   4395717
          Vehicles       0.00      0.00      0.00     88079
   Urban Furniture       0.00      0.00      0.00    471146
              Roof       0.38      0.83      0.52   2817605
            Facade       0.00      0.00      0.00    534588
        Bush/Hedge       0.00      0.00      0.00    189466
              Tree       0.03      0.00      0.00   1192986
       Dirt/Gravel       0.28      0.22      0.25   2943442
  Vertical Surface       0.00      0.00      0.00    254598
              Void       0.00      0.00      0.00         0

         micro avg       0.59      0.59      0.59  24072021
         macro avg       0.18      0.18      0.16  24072021
      weighted avg       0.56      0.59      0.53  24072021
